Analyzing gantt_view_model.dart...                              

  error • Undefined name 'rowHeight' • lib/view_models/gantt_view_model.dart:2374:73 • undefined_identifier
  error • Undefined name '_gridScrollController' • lib/view_models/gantt_view_model.dart:2377:11 • undefined_identifier
  error • The function 'notifyListeners' isn't defined • lib/view_models/gantt_view_model.dart:2382:7 • undefined_function
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2389:22 • undefined_identifier
  error • Undefined name 'visibleGanttRows' • lib/view_models/gantt_view_model.dart:2398:27 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2399:69 • undefined_identifier
  error • Undefined name '_allGanttTasks' • lib/view_models/gantt_view_model.dart:2400:7 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2402:22 • undefined_identifier
  error • The function '_updateTasksAndStacking' isn't defined • lib/view_models/gantt_view_model.dart:2405:5 • undefined_function
  error • Undefined name '_gridData' • lib/view_models/gantt_view_model.dart:2412:20 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2428:9 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2437:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2439:7 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2441:28 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2444:11 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2444:66 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2444:96 • undefined_identifier
  error • The function '_updateTasksAndStacking' isn't defined • lib/view_models/gantt_view_model.dart:2445:7 • undefined_function
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2448:9 • undefined_identifier
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2449:7 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2467:9 • undefined_identifier
  error • Undefined name '_useLocalDatabase' • lib/view_models/gantt_view_model.dart:2469:9 • undefined_identifier
  error • Undefined name '_localRepository' • lib/view_models/gantt_view_model.dart:2471:7 • undefined_identifier
  error • Undefined name '_ganttTasks' • lib/view_models/gantt_view_model.dart:2474:24 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2476:11 • undefined_identifier
  error • Undefined name '_scheduleService' • lib/view_models/gantt_view_model.dart:2480:11 • undefined_identifier
  error • Undefined name '_apiResponse' • lib/view_models/gantt_view_model.dart:2480:66 • undefined_identifier
  error • Undefined name '_showConflicts' • lib/view_models/gantt_view_model.dart:2480:96 • undefined_identifier
  error • Undefined name '_dependencies' • lib/view_models/gantt_view_model.dart:2481:7 • undefined_identifier
  error • The function '_updateTasksAndStacking' isn't defined • lib/view_models/gantt_view_model.dart:2482:7 • undefined_function
  error • Undefined name '_syncClient' • lib/view_models/gantt_view_model.dart:2485:9 • undefined_identifier
